tran_wk,wkly_volume,tv_volume,radio_volume,ps_volume,flyer_volume,email_volume,sd_volume,wd_volume,base
201601,209,0,0,18.9118146,0,0,0,0,190.0881854
201602,186,0,0,11.6253004,0,0,0,0,174.3746996
201603,199,0,0,12.4276054,0,0,0,0,186.5723946
201604,176,0,0,9.76633,0,0,0,0,166.23367
201605,144,0,0,1.3027056,0,0,0,0,142.6972944
201606,254,0,0,6.9362734,0,0,43.55662393,0,203.5071027
201607,204,0,0,9.3221898,0,0,0,0,194.6778102
201608,153,0,0,14.4834872,0,0,0,0,138.5165128
201609,217,0,0,0.657692,0,0,0,0,216.342308
201610,177,0,0,8.9386682,0,0,0,0,168.0613318
201611,207,0,0,1.4932778,0,0,0,0,205.5067222
201612,218,0,0,9.1748034,19.45884615,0,0,0,189.3663504
201613,240,0,0,1.9461344,0,0,0,0,238.0538656
201614,212,0,0,13.777855,0,0,0,0,198.222145
201615,178,0,0,4.8510728,0,0,0,0,173.1489272
201616,272,0,0,7.9489606,19.45884615,0,0,0,244.5921932
201617,203,0,0,1.2662552,0,0,0,0,201.7337448
201618,202,0,0,3.5218218,19.45884615,0,0,0,179.019332
201619,277,0,0,13.5746044,0,0,0,0,263.4253956
201620,244,0,0,18.4601466,0,0,0,0,225.5398534
201621,174,0,0,2.2004948,0,0,0,0,171.7995052
201622,260,0,0,11.2453446,0,0,0,0,248.7546554
201623,296,61.44896838,-42.19412737,13.783798,19.45884615,0,43.55662393,0,157.7517635
201624,233,58.0605447,-37.51063745,14.8781024,0,0,0,0,160.0613529
201625,180,54.74137472,-33.08655815,2.1961366,0,0,0,0,123.0624887
201626,310,51.50779473,-28.98403428,6.5301684,0,0,0,0,251.9620369
201627,297,48.37337446,-25.23837964,13.4367268,19.45884615,0,0,22.70741758,193.023635
201628,264,45.34903051,-21.86298467,16.226371,0,0,0,22.70741758,179.7171809
201629,263,42.44319304,-18.85452825,11.5726058,0,0,0,22.70741758,186.2767836
201630,239,39.66200893,-16.19781864,11.3344896,19.45884615,0,0,22.70741758,145.8372377
201631,238,37.00956667,-13.86991898,16.4351684,0,0,0,22.70741758,161.8478473
201632,283,34.4881313,-11.84344308,3.2425008,19.45884615,0,43.55662393,0,182.2538978
201633,237,32.09837962,-10.08904734,15.4228774,0,0,0,0,189.478743
201634,226,29.83962877,-8.577218076,5.511142,0,0,0,0,190.6492292
201635,248,27.7100526,-7.27948093,12.7580362,0,0,0,0,207.5319112
201636,223,25.70688258,-6.16916018,7.4846142,0,0,0,0,189.8085032
201637,177,23.82659095,-5.221802253,6.9679694,0,0,0,0,146.2054396
201638,218,22.06505511,-4.415358886,16.9125894,0,0,0,0,179.0223555
201639,188,20.41770308,-3.730205542,6.4227982,0,0,0,0,161.1594987
201640,219,54.21475086,-54.54027932,2.7908328,19.45884615,0,43.55662393,0,98.97894625
201641,175,50.99628574,-49.68392795,10.1379656,0,0,0,0,113.8657487
201642,263,47.87891275,-44.79289363,15.533021,0,0,0,0,199.5880662
201643,192,44.87313588,-40.00600638,1.0471566,0,0,0,0,146.0797075
201644,232,41.98700336,-35.43261348,5.929133,19.45884615,0,0,0,164.6250175
201645,229,39.22631517,-31.15091225,7.3443594,0,0,0,0,182.4293254
201646,210,36.59485034,-27.21011555,17.8741668,0,0,0,0,155.5309829
201647,205,34.09460248,-23.63477281,16.3844548,0,0,0,0,154.5209427
201648,277,31.7260144,-20.42992687,6.6197096,19.45884615,0,0,0,219.1954298
201649,217,29.48820496,-17.58621614,19.053258,0,0,0,0,168.458537
201650,276,27.37918324,-15.0844121,2.3185624,0,0,0,0,246.3022544
201651,237,25.39604659,-12.89916572,6.1506088,19.45884615,6.978846154,0,0,179.0156523
201652,228,23.53516093,-11.00192345,8.2556194,19.45884615,6.978846154,0,0,169.7715274
201701,290,21.79232198,-9.363079146,1.5428028,19.45884615,6.978846154,0,0,240.2271829
201702,173,20.16289778,-7.953478533,5.0816612,0,0,0,0,147.755441
201703,230,18.64195274,-6.745405608,12.4593014,0,0,0,0,198.8987459
201704,199,17.22435434,-5.713173907,17.3511828,0,0,0,0,164.4244629
201705,189,15.90486368,-4.833428467,14.7659778,0,0,0,0,158.3291585
201706,206,14.6782113,-4.085244724,4.1830796,0,0,0,0,187.1387091
201707,186,13.53915964,-3.450091337,4.2226996,0,0,0,0,168.2381408
201708,203,12.48255385,-2.911707157,11.7405946,0,0,0,0,178.7768515
201709,269,39.03637942,-54.33010612,8.583673,19.45884615,0,43.55662393,0,158.3644775
201710,155,36.41412683,-49.4689777,17.9431056,0,0,0,22.70741758,77.93534999
201711,181,33.92317059,-44.57979927,4.0071668,0,0,0,22.70741758,120.362245
201712,262,31.56385279,-39.80021298,18.8725908,0,0,0,22.70741758,188.8561388
201713,193,29.33520714,-35.2382001,3.219125,0,0,0,22.70741758,137.7382503
201714,193,27.23517207,-30.97061968,0.4687046,0,0,0,22.70741758,142.5887057
201715,203,25.26078767,-27.04550178,10.5254492,19.45884615,0,0,0,147.754917
201716,200,23.40837454,-23.48642976,0.606186,0,0,0,0,175.9854395
201717,190,21.67369378,-20.29771031,8.7667174,19.45884615,0,0,0,140.1007427
201718,189,20.05208814,-17.46945913,11.1098442,0,0,0,0,157.8380677
201719,296,54.00748315,-35.30371766,5.4580512,19.45884615,0,43.55662393,0,173.5189956
201720,218,50.79507909,-31.03136353,14.3491754,0,0,0,0,152.8557455
201721,198,47.68451119,-27.10095166,19.0298822,0,0,0,0,131.2856066
201722,231,44.68612181,-23.53639016,9.8875672,0,0,0,0,176.426311
201723,254,60.77978815,-51.37554154,12.7211896,19.45884615,0,43.55662393,0,117.4835522
201724,151,57.40352652,-46.4794545,1.0225922,19.45884615,0,0,0,73.11503512
201725,294,54.09994395,-41.64259208,2.7230826,0,0,0,0,237.1769735
201726,231,50.88482829,-36.98493696,17.4086318,0,0,0,0,162.7065399
201727,232,47.77121804,-32.59537347,19.2446226,0,0,0,0,164.9841594
201728,284,44.76952761,-28.53272925,10.4363042,19.45884615,0,43.55662393,0,165.7786981
201729,216,41.88772243,-24.82952131,8.0840648,0,0,0,0,166.0282128
201730,176,39.13152747,-21.496946,13.704558,0,0,0,0,123.1639145
201731,200,36.50465492,-18.53007535,11.473952,19.45884615,0,0,0,132.5625469
201732,193,34.00903988,-15.91262768,7.3720934,0,0,0,0,151.6188667
201733,257,31.6450748,-13.62099974,15.1847612,0,0,0,0,210.170164
201734,238,29.41183595,-11.6274664,18.6305126,0,0,0,0,189.9576514
201735,257,27.30729705,-9.902585264,6.2385652,0,0,0,0,223.4541378
201736,231,25.3285268,-8.416910572,4.966367,19.45884615,0,0,0,181.24626
201737,158,23.4718684,-7.142144269,3.2694424,0,0,0,0,131.2586892
201738,245,21.73310025,-6.051851011,10.0749698,0,0,0,0,213.19193
201739,247,20.10757768,-5.121849433,16.5179742,0,0,0,0,210.3744481
201740,210,54.0389357,-62.12049717,14.5797638,19.45884615,0,43.55662393,0,78.36583041
201741,232,50.82560782,-57.68521987,18.0068938,0,0,0,0,163.1674984
201742,232,47.7140038,-52.94087511,14.3103478,0,0,0,0,169.9756484
201743,213,44.71449049,-48.05601644,13.3848246,0,0,0,0,154.9006849
201744,198,41.83498944,-43.18553692,14.8915732,0,0,0,0,141.2734374
201745,167,39.08118578,-38.45897041,13.9359388,0,0,0,0,113.9828754
201746,177,36.45675632,-33.97527808,4.461212,0,0,0,0,136.0820317
201747,164,33.96360516,-29.80265313,16.8175014,0,0,0,0,113.2188934
201748,215,31.60209806,-25.98157408,7.0824712,19.45884615,0,0,0,156.8565846
201749,218,29.37128876,-22.52952846,17.2414354,0,0,0,0,171.3872758
201750,193,27.26913229,-19.44622987,13.3032074,0,0,0,0,152.4276603
201751,202,25.29268219,-16.71857308,9.982259,0,6.978846154,0,0,159.7462127
201752,174,23.43826967,-14.32492273,6.309485,19.45884615,6.978846154,0,0,117.814553
